id	Campylobacter	Clostridioides_difficile	Salmonella	Vibrio_cholerae	Yersinia_enterocolitica
Study_7	38.63	0.45	NA	NA	NA
Study_8	80	0.15	0.12	NA	NA
Study_10	NA	100.86	4.94	NA	NA
Study_16	NA	NA	NA	NA	NA
Study_24	NA	0.1	NA	NA	NA
Study_28	NA	10.48	0.03	NA	NA
Study_35	NA	0.69	1.19	NA	NA
Study_38	NA	NA	NA	NA	NA
Study_49	NA	0.08	NA	NA	NA
Study_54	NA	0.72	NA	NA	NA
Study_59	NA	3.13	NA	NA	NA
Study_60	NA	0.39	8.7	NA	NA
Study_62	NA	0.12	NA	NA	NA
Study_64	4.54	3.89	0.3	NA	NA
Study_74	NA	NA	0.57	NA	NA
Study_77	NA	0.99	6.25	NA	NA
Study_78	NA	NA	1.21	NA	NA
Study_80	4.46	0.32	NA	NA	NA
Study_81	NA	0.74	1.7	NA	NA
Study_83	NA	0.2	11.06	NA	NA
Study_86	NA	0.1	NA	NA	NA
Study_91	NA	48.42	0.31	NA	NA
Study_94	NA	0.07	1.91	NA	NA
Study_105	7.22	5.7	NA	NA	NA
Study_106	NA	6.36	0.4	NA	NA
Study_114	NA	0.43	4.73	NA	NA
Study_115	NA	0.17	NA	NA	NA
Study_118	214.21	NA	0.12	NA	NA
Study_121	NA	1.27	NA	NA	NA
Study_124	3.92	0.6	16.42	NA	NA
Study_127	NA	0.18	NA	NA	NA
Study_133	7.78	0.02	0.18	NA	NA
Study_135	NA	NA	3.63	NA	NA
Study_140	NA	12.44	NA	NA	NA
Study_141	5.37	0.12	NA	NA	NA
Study_144	NA	0.09	NA	NA	NA
Study_147	NA	129.49	0.13	NA	NA
Study_149	NA	NA	NA	NA	NA
Study_150	NA	0.08	0.16	NA	NA
Study_155	NA	NA	0.31	NA	NA
Study_158	NA	0.41	NA	NA	NA
Study_160	NA	NA	NA	NA	NA
Study_161	NA	1.36	7.1	NA	NA
Study_172	NA	1.64	0.02	NA	NA
Study_176	200.4	3.46	NA	NA	NA
Study_182	NA	1.3	NA	NA	NA
Study_187	NA	NA	0.03	NA	NA
Study_188	NA	0.39	NA	NA	NA
Study_190	NA	14.38	NA	NA	NA
Study_191	NA	0.07	NA	NA	NA
Study_192	NA	1.48	NA	NA	NA
Study_196	NA	0.45	0.46	NA	NA
Study_211	NA	0.05	0.18	NA	NA
Study_212	NA	1.2	1.13	NA	NA
Study_213	NA	NA	NA	NA	NA
Study_220	NA	1.61	NA	NA	NA
Study_221	1.33	0.31	NA	NA	NA
Study_222	2.4	0.59	0.38	NA	NA
Study_225	NA	0.39	0.18	NA	NA
Study_235	NA	2.42	NA	NA	NA
Study_236	NA	0.64	0.63	NA	NA
Study_238	NA	0.05	NA	NA	NA
Study_249	NA	1.89	NA	NA	NA
Study_257	NA	0.9	NA	NA	NA
Study_262	NA	1.4	NA	NA	NA
Study_267	NA	21.33	1.94	NA	NA
Study_276	NA	0.65	NA	NA	NA
Study_282	NA	0.24	NA	NA	NA
Study_286	NA	0.11	NA	NA	NA
Study_289	NA	1.37	0.11	NA	NA
Study_291	NA	0.94	0.07	NA	NA
Study_292	NA	1.64	NA	NA	NA
Study_293	4.13	0.77	0.44	NA	NA
Study_294	91.31	6.98	0.09	NA	NA
Study_296	NA	0.77	1.18	NA	NA
Study_297	9.95	0.61	0.27	NA	NA
Study_298	NA	0.06	NA	NA	NA
Study_299	9.12	0.04	NA	NA	NA
Study_301	4.05	43.38	6.87	NA	NA
Study_303	NA	NA	NA	NA	NA
Study_304	NA	NA	0.6	NA	NA
Study_305	NA	1.28	NA	NA	NA
Study_306	2.3	2.41	1.75	NA	NA
Study_307	13.79	0.08	0.37	NA	NA
Study_308	NA	0.07	NA	NA	NA
Study_312	NA	1.59	NA	NA	NA
Study_314	NA	17.93	NA	NA	NA
Study_321	NA	0.12	0.9	NA	NA
Study_322	NA	0.37	NA	NA	NA
Study_327	NA	2.1	0.28	NA	NA
Study_330	NA	9.32	NA	NA	NA
Study_331	NA	4.98	NA	NA	NA
Study_340	NA	0.64	NA	NA	NA
Study_341	NA	1.57	NA	NA	NA
Study_343	NA	29.86	NA	NA	NA
Study_345	4.98	0.18	1.53	NA	NA
Study_346	NA	0.63	2.31	NA	NA
Study_347	1.56	10.17	NA	NA	NA
Study_351	NA	0.19	0.53	NA	NA
Study_354	NA	1.57	NA	NA	NA
Study_355	NA	2.26	NA	NA	NA
Study_356	3.86	4.98	NA	NA	NA
Study_358	NA	9.67	NA	NA	NA
Study_359	NA	17.61	0.09	NA	NA
Study_360	66.9	0.88	2.04	NA	NA
Study_361	NA	0.26	NA	NA	NA
Study_363	NA	1.92	NA	NA	NA
Study_365	NA	4.3	0.66	NA	NA
Study_366	1.3	1.53	NA	NA	NA
Study_367	NA	5.51	NA	NA	NA
Study_368	NA	NA	0.83	NA	NA
Study_369	120.65	3	NA	NA	NA
Study_370	NA	0.33	0.67	NA	NA
Study_371	NA	6.95	0.21	NA	NA
Study_374	NA	NA	0.5	NA	NA
Study_376	NA	0.85	5.96	NA	NA
Study_390	NA	5.52	0.07	NA	NA
Study_391	NA	20.82	0.42	NA	NA
Study_394	NA	0.18	0.23	NA	NA
Study_398	NA	NA	3.26	NA	NA
Study_403	8.25	2.41	0.05	NA	NA
Study_404	NA	NA	0.12	NA	NA
Study_410	NA	0.41	NA	NA	NA
Study_415	NA	NA	0.16	NA	NA
Study_416	NA	19.05	1.7	NA	NA
Study_418	NA	0.04	NA	NA	NA
Study_430	NA	NA	1.48	NA	NA
Study_431	NA	1.3	NA	NA	NA
Study_434	NA	0.86	0.77	NA	NA
Study_444	NA	0.13	NA	NA	NA
Study_471	NA	0.47	NA	NA	NA
Study_472	NA	1.18	NA	NA	NA
Study_484	NA	0.14	NA	NA	NA
Study_495	NA	0.36	NA	NA	NA
Study_521	NA	0.32	NA	NA	NA
Study_522	NA	7.15	1.09	NA	NA
Study_525	NA	0.33	NA	NA	NA
Study_528	4.29	1.24	0.35	NA	NA
Study_535	NA	0.75	NA	NA	NA
Study_544	NA	1.71	0.12	NA	NA
Study_545	NA	NA	NA	NA	NA
Study_553	NA	0.11	NA	NA	NA
Study_556	NA	0.06	NA	NA	NA
Study_565	NA	4.59	NA	NA	NA
Study_605	NA	NA	NA	NA	NA
Study_609	6.12	2.07	NA	NA	NA
Study_614	NA	NA	NA	NA	NA
Study_618	NA	0.47	NA	NA	NA
Study_627	NA	2.09	0.08	NA	NA
Study_650	1.6	80.11	0.1	NA	NA
Study_665	NA	NA	0.09	NA	NA
Study_682	NA	0.46	2.18	NA	NA
Study_690	NA	NA	0.04	NA	NA
Study_691	NA	1.2	NA	NA	NA
Study_693	NA	1.13	0.11	NA	NA
Study_702	59.59	3.89	NA	NA	NA
Study_722	NA	0.11	0.7	NA	NA
Study_723	NA	NA	NA	NA	NA
Study_725	NA	6.82	4.57	NA	NA
Study_727	NA	2.05	NA	NA	NA
Study_730	NA	0.26	NA	NA	NA
Study_733	NA	NA	NA	NA	NA
Study_734	NA	0.95	3.6	NA	NA
Study_737	5.95	10.51	2.49	NA	0.36
Study_738	NA	0.86	0.81	NA	NA
Study_745	NA	4.45	NA	NA	NA
Study_746	NA	10.66	NA	NA	NA
Study_747	NA	0.68	NA	NA	NA
Study_748	NA	1.07	0.39	NA	NA
Study_749	NA	0.55	NA	NA	NA
Study_750	281.24	1.96	NA	NA	NA
Study_755	NA	0.43	NA	NA	NA
Study_756	NA	45.71	NA	NA	NA
Study_766	NA	0.17	0.2	NA	NA
Study_767	NA	1.34	NA	NA	NA
Study_768	NA	0.1	0.09	NA	NA
Study_769	NA	NA	NA	NA	NA
Study_770	NA	0.38	NA	NA	NA
Study_778	NA	0.1	NA	NA	NA
Study_804	NA	0.13	NA	NA	NA
Study_812	NA	5.15	NA	NA	NA
Study_814	47.92	3.33	10.47	NA	NA
Study_835	NA	0.33	NA	NA	NA
Study_871	NA	0.97	0.06	NA	NA
Study_880	NA	0.51	0.21	NA	NA
Study_888	NA	10.26	21.21	NA	NA
Study_889	21.31	6.67	NA	NA	NA
Study_890	NA	NA	NA	NA	NA
Study_894	17.7	200.52	0.06	NA	NA
Study_895	NA	17.18	NA	NA	NA
Study_896	NA	8.58	NA	NA	NA
Study_898	NA	NA	0.26	NA	NA
Study_899	NA	0.43	0.95	NA	NA
Study_901	NA	0.52	NA	NA	NA
Study_905	NA	11.57	0.43	NA	NA
Study_908	NA	0.01	NA	NA	NA
Study_920	439.74	0.21	NA	NA	NA
Study_947	NA	12.33	0.63	NA	NA
Study_951	NA	0.88	NA	NA	NA
Study_954	15.12	0.07	0.54	NA	NA
Study_957	NA	0.67	0.18	NA	NA
Study_962	NA	0.2	NA	NA	NA
Study_963	11.73	2.02	0.31	NA	NA
Study_965	NA	0.03	0.1	NA	NA
Study_966	NA	NA	0.1	NA	NA
Study_967	63.35	0.17	0.4	NA	NA
Study_968	NA	0.34	3.48	NA	NA
